,Date,Winner/Commander,WinCon,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6
Eerie Ultimatum FTW + a rando who didn't know he was playing stax (mana breach),10/25/20,Brendan / Scion of the Ur-Dragon,Combo,John / Edgar Markov,"Rando / Tatyova, Benthic Druid","Alex / Torbran, Thane of Red Fell",Brendan / Scion of the Ur-Dragon,,
,10/25/20,"Rando / Golos, Tireless Pilgrim",,John / Edgar Markov,Brendan / Scion of the Ur-Dragon,"Alex / Torbran, Thane of Red Fell","Rando / Golos, Tireless Pilgrim",,
Pariah + taunter + guilty conscience :o,10/28/20,Reese / Firesong and Sunspeaker,Combo,Reese / Firesong and Sunspeaker,"Greg / Freyalise, LLanowar's Fury",Brendan / Scion of the Ur-Dragon,John / Edgar Markov,,
ARMAGEDDON,10/28/20,John / Edgar Markov,Burn,John / Edgar Markov,Reese / Firesong and Sunspeaker,Brendan / Scion of the Ur-Dragon,Greg / Kaalia of the Vast,,
,11/1/20,"Rando / Saheeli, the Gifted",Control,"John / Muldrotha, the Gravetide","Rando / Saheeli, the Gifted",Reese / Firesong and Sunspeaker,Brendan / Maelstrom Wanderer,,
,11/1/20,Brendan / Maelstrom Wanderer,,Brendan / Maelstrom Wanderer,Reese / Firesong and Sunspeaker,"Rando / Sisay, Weatherlight Captain","John / Muldrotha, the Gravetide",,
,11/3/20,"Rando / Obosh, the Preypiercer",,Reese / Firesong and Sunspeaker,"Rando / Obosh, the Preypiercer","John / Hapatra, Vizier of Poisons",Brendan / Scion of the Ur-Dragon,,
,11/5/20,"Brendan / Xenagos, God of Revels",,"Brendan / Xenagos, God of Revels","John / Tayam, Luminous Enigma","Phil / Elesh Norn, Grand Cenobite",Reese / Firesong and Sunspeaker,"Greg / Arixmethes, Slumbering Isle",
,11/5/20,"Greg / Nekusar, the Mindrazer",,"Greg / Nekusar, the Mindrazer",Andrew / Emiel the Blessed,Brendan / Scion of the Ur-Dragon,John / Queen Marchesa,Reese / Firesong and Sunspeaker,
,11/7/20,"Brendan / Yidris, Maelstrom Wielder",,"Phil / Elesh Norn, Grand Cenobite","John / Tayam, Luminous Enigma","Brendan / Yidris, Maelstrom Wielder","Alex / Lazav, the Multifarious",,
,11/10/20,"Andrew / Omnath, Locus of Creation",,Reese / The Ur-Dragon,"Juan / Samut, Voice of Dissent","Miguel / Zacama, Primal Calamity","Andrew / Omnath, Locus of Creation",,
"Lazav, Laserbeam",11/12/20,"Alex / Lazav, the Multifarious",Voltron,"Alex / Lazav, the Multifarious","Greg / Freyalise, LLanowar's Fury","Brendan / Yidris, Maelstrom Wielder","John / Nicol Bolas, the Ravager",,
,11/14/20,"Brendan / Yidris, Maelstrom Wielder",,"Reese / Volrath, the Shapestealer","John / Tayam, Luminous Enigma","Brendan / Yidris, Maelstrom Wielder","Alex / Lazav, the Multifarious",,
necromancy'ed squirrels FTW,11/14/20,"John / Tayam, Luminous Enigma",Control,"Alex / Torbran, Thane of Red Fell","John / Tayam, Luminous Enigma","Reese / Krenko, Mob Boss",Brendan / Scion of the Ur-Dragon,,
first resolved omnicience! Spooky!,11/15/20,Brendan / Maelstrom Wanderer,Mid-Range Combat,Reese / Firesong and Sunspeaker,"Nolan / Jhoira, Weatherlight Captain","Andrew / Kalamax, the Stormsire",Brendan / Maelstrom Wanderer,,
Chainer Living Death FTW,11/19/20,"Phil / Chainer, Dementia Master",Mid-Range Combat,"Greg / Kozilek, the Great Distortion","Alex / Lazav, the Multifarious","Phil / Chainer, Dementia Master",John / Yurlok of Scorch Thrash,,
,11/19/20,Brendan / Scion of the Ur-Dragon,Mid-Range Combat,Brendan / Scion of the Ur-Dragon,John / Yurlok of Scorch Thrash,"Greg / Kozilek, the Great Distortion","Alex / Lazav, the Multifarious",,
,11/28/20,"Phil / Chainer, Dementia Master",Mid-Range Combat,"Brendan / Yidris, Maelstrom Wielder","Phil / Chainer, Dementia Master",John / Yurlok of Scorch Thrash,"Alex / Inalla, Archmage Ritualist",,
SAKA-SMASH!!,12/03/20,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,John / Yurlok of Scorch Thrash,"Reese / Varina, Lich Queen",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Greg / Kozilek, the Great Distortion",,
Planar Bridge WTF,12/03/20,"Greg / Kozilek, the Great Distortion",Mid-Range Combat,"John / Nicol Bolas, the Ravager",Brendan / Vial Smasher + Sakashima of a Thousand Faces,Reese / The Ur-Dragon,"Greg / Kozilek, the Great Distortion",,
,12/06/20,"John / Tymna the Weaver + Tana, the Bloodsower",Mid-Range Combat,"Andrew / Bosh, Iron Golem","Alex / Lazav, the Multifarious",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"John / Tymna the Weaver + Tana, the Bloodsower",,
,12/06/20,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,"Andrew / Omnath, Locus of Creation","Reese / Varina, Lich Queen","Rando / Tymna the Weaver + Rograkh, Son of Rohgahh",Brendan / Vial Smasher + Sakashima of a Thousand Faces,,
,12/8/20,"Phil / Elesh Norn, Grand Cenobite",Mid-Range Combat,"John / Tymna the Weaver + Tana, the Bloodsower",Reese / Firesong and Sunspeaker,"Phil / Elesh Norn, Grand Cenobite",Brendan / Vial Smasher + Sakashima of a Thousand Faces,,
,12/8/20,"Alex / Torbran, Thane of Red Fell",Burn,"Reese / Varina, Lich Queen","John / Tymna the Weaver + Tana, the Bloodsower",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Alex / Torbran, Thane of Red Fell",,
,12/12/20,John / The Scarab God,Combo,"Reese / Volrath, the Shapestealer",John / The Scarab God,Brendan / Vial Smasher + Sakashima of a Thousand Faces,,,
,12/13/20,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,"Alex / Inalla, Archmage Ritualist",Brendan / Vial Smasher + Sakashima of a Thousand Faces,John / The Scarab God,"Phil / Elesh Norn, Grand Cenobite",,
,12/13/20,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,Greg / Kaalia of the Vast,"Reese / Krenko, Mob Boss",Brendan / Vial Smasher + Sakashima of a Thousand Faces,"Rando / Siona, Captain of the Pyleas",,
,12/17/20,John / The Scarab God,Control,"Greg / Hallar, the Firefletcher",John / The Scarab God,"Phil / Chainer, Dementia Master",,,
,12/17/20,"Greg / Hallar, the Firefletcher",Burn,"Greg / Hallar, the Firefletcher","Phil / Elesh Norn, Grand Cenobite","John / Tymna the Weaver + Tana, the Bloodsower",,,
,12/19/20,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Burn,Reese / The Ur-Dragon,"Alex / Inalla, Archmage Ritualist",Andrew / Emiel the Blessed,Brendan / Vial Smasher + Sakashima of a Thousand Faces,,
,12/21/20,"Greg / Xyris, the Writhing Storm",Mid-Range Combat,"Alex / Teysa, Orzhov Scion",Reese / Jhoira of the Ghitu,John / Riku of Two Reflections,Brendan / Abomination of Llanowar,"Greg / Xyris, the Writhing Storm",
,12/26/20,"Greg / Xyris, the Writhing Storm",Mid-Range Combat,Reese / Jhoira of the Ghitu,Phil / Teysa Karlov,"Greg / Xyris, the Writhing Storm",Brendan / Abomination of Llanowar,,
,12/26/20,John / Riku of Two Reflections,Mid-Range Combat,John / Riku of Two Reflections,"Andrew / Alesha, who Smiles at Death",Nolan / Feldon of the Third Path,"Alex / Teysa, Orzhov Scion",,
Arch Enemy fits Kozi,12/30/20,"Greg / Kozilek, the Great Distortion",Mid-Range Combat,"Greg / Kozilek, the Great Distortion","John / Tymna the Weaver + Tana, the Bloodsower",Reese / Ink-Treader Nephilim,,,
,12/30/20,"Greg / Nekusar, the Mindrazer",Group Slug,"Greg / Nekusar, the Mindrazer","Andrew / Kalamax, the Stormsire",John / The Scarab God,Reese / Ink-Treader Nephilim,,
,01/03/21,"Alex / Teysa, Orzhov Scion",Combo,Brendan / Abomination of Llanowar,John / Riku of Two Reflections,"Alex / Teysa, Orzhov Scion",Reese / Jhoira of the Ghitu,,
Windfall + hullbreacher = no cards for you,01/07/21,John / The Scarab God,Control,John / The Scarab God,"Alex / Lazav, the Multifarious",Reese / Ink-Treader Nephilim,"Greg / Freyalise, LLanowar's Fury",Brendan / Scion of the Ur-Dragon,
ITN CHAOS -> clear board ->  Wizards c-c-c-combo,01/07/21,"Alex / Inalla, Archmage Ritualist",Combo,Reese / Ink-Treader Nephilim,"Alex / Inalla, Archmage Ritualist","John / Tymna the Weaver + Tana, the Bloodsower","Brendan / Samut, Voice of Dissent",,
Mob Rule after a HOOF FTW,01/09/21,Alex / Zedruu the Greathearted,Mid-Range Combat,Alex / Zedruu the Greathearted,"Brendan / Zaxara, the Exemplary","Greg / Freyalise, LLanowar's Fury","Andrew / Estrid, the Masked",,
Kaalia's first W!,01/09/21,Greg / Kaalia of the Vast,Mid-Range Combat,"Andrew / Bosh, Iron Golem",Greg / Kaalia of the Vast,"Brendan / Yidris, Maelstrom Wielder",,,
https://www.youtube.com/watch?v=6Se9vvLsVUI,1/12/21,Reese / Firesong and Sunspeaker,Burn,"Greg / Hallar, the Firefletcher","Alex / Kumena, Tyrant of Orazca",Reese / Firesong and Sunspeaker,"Brendan / Xenagos, God of Revels",,
TRIBAL OFF: 5 Tribes; 0 Board Wipes,1/12/21,John / Edgar Markov,Aggro,Brendan / Vial Smasher + Sakashima of a Thousand Faces,Reese / The Ur-Dragon,"Greg / Freyalise, LLanowar's Fury","Alex / Kumena, Tyrant of Orazca",John / Edgar Markov,
Meren polices Koz;  Koz spites Meren; Norn squashes Merfolk and GB combo wincons;  Monowhite wins!,1/20/21,"Phil / Elesh Norn, Grand Cenobite",Mid-Range Combat,"Phil / Elesh Norn, Grand Cenobite","Alex / Kumena, Tyrant of Orazca",John / Meren of Clan Nel Toth,"Greg / Kozilek, the Great Distortion",,
Rally the Ancestors for hella value to kill the other non-Teysa decks;  Then a Teysa V Teysa off for the climactic ending;  Teysa wins!,1/23/21,Phil / Teysa Karlov,Mid-Range Combat,"Alex / Teysa, Orzhov Scion",Phil / Teysa Karlov,Brendan / Abomination of Llanowar,Nolan / Feldon of the Third Path,,
UPHEAVAAAAAAAL,1/23/21,Reese / Jhoira of the Ghitu,Mid-Range Combat,Reese / Jhoira of the Ghitu,John / Riku of Two Reflections,"Greg / Xyris, the Writhing Storm","Andrew / Alesha, who Smiles at Death",,
Bolas' Citadel Storm,1/23/21,John / Edgar Markov,Burn,"Reese / Krenko, Mob Boss","Greg / Freyalise, LLanowar's Fury",John / Edgar Markov,,,
OOPS ALL MONKIES,1/23/21,"Greg / Hallar, the Firefletcher",Burn,John / Yurlok of Scorch Thrash,"Greg / Hallar, the Firefletcher",Reese / Ink-Treader Nephilim,,,
